source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
board:greenhouse	board:greenhouse	Zuora	Customer Solution Engineer	Costa Rica	https://boards.greenhouse.io/zuora/jobs/7765587?gh_jid=7765587	2026-09-10	10.3			
board:greenhouse	board:greenhouse	Zuora	Customer Solution Engineer	Remote - United States	https://boards.greenhouse.io/zuora/jobs/8059695?gh_jid=8059695	2026-08-11	40.3			
board:greenhouse	board:greenhouse	Zuora	Customer Solution Engineer - AI Native/Consumption Quote to Cash	Remote - United States	https://boards.greenhouse.io/zuora/jobs/8027105?gh_jid=8027105	2026-07-20	62.3			
board:greenhouse	board:greenhouse	Zuora	Customer Solution Engineer - Quote to Cash	Remote - United States	https://boards.greenhouse.io/zuora/jobs/7770757?gh_jid=7770757	2026-08-07	44.3			
board:greenhouse	board:greenhouse	Zuora	Customer Solutions Engineer – Payments	Remote - United States	https://boards.greenhouse.io/zuora/jobs/8050527?gh_jid=8050527	2026-07-20	62.3			
board:greenhouse	board:greenhouse	Zuora	Enterprise Account Executive, Expand	Atlanta, Georgia, United States; Boston, Massachusetts, United States; New York, New York, United States	https://boards.greenhouse.io/zuora/jobs/7872299?gh_jid=7872299	2026-07-20	62.3			
board:greenhouse	board:greenhouse	Zuora	Enterprise Solution Architect, Quote-to-Revenue	Remote - United States	https://boards.greenhouse.io/zuora/jobs/8189570?gh_jid=8189570	2026-09-09	11.3			
board:greenhouse	board:greenhouse	Zuora	Manager, Customer Solution Engineering	London, Greater London, England, United Kingdom	https://boards.greenhouse.io/zuora/jobs/8103491?gh_jid=8103491	2026-08-17	34.3			
board:greenhouse	board:greenhouse	Zuora	Principal Product Manager, Payments	Foster City, California, United States	https://boards.greenhouse.io/zuora/jobs/7559435?gh_jid=7559435	2026-09-02	18.3			
board:greenhouse	board:greenhouse	Zuora	Revenue Implementation Consultant	Costa Rica	https://boards.greenhouse.io/zuora/jobs/7966290?gh_jid=7966290	2026-07-20	62.3			
board:greenhouse	board:greenhouse	Zuora	Sales Development Representative	London, Greater London, England, United Kingdom	https://boards.greenhouse.io/zuora/jobs/7738922?gh_jid=7738922	2026-09-04	16.3			
board:greenhouse	board:greenhouse	Zuora	Senior Java Engineer	Foster City, California, United States	https://boards.greenhouse.io/zuora/jobs/7966286?gh_jid=7966286	2026-09-03	17.3			
board:greenhouse	board:greenhouse	Zuora	Senior Software Engineer	Foster City, California, United States	https://boards.greenhouse.io/zuora/jobs/7460760?gh_jid=7460760	2026-09-09	11.3			
