company	legal_name	industry	ats	board_url	api_url	h1b_known	notes
6sense	6sense Insights, Inc.	Revenue, GTM and Pricing Software	greenhouse	https://boards.greenhouse.io/6sense	https://boards-api.greenhouse.io/v1/boards/6sense/jobs	unchecked	
Airbyte	?	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/airbyte	https://api.ashbyhq.com/posting-api/job-board/airbyte?includeCompensation=true	unchecked	
Airtable	Formagrid, Inc. (dba Airtable)	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/airtable	https://boards-api.greenhouse.io/v1/boards/airtable/jobs	unchecked	
Amplitude	Amplitude, Inc.	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/amplitude	https://boards-api.greenhouse.io/v1/boards/amplitude/jobs	unchecked	
Anysphere (Cursor)	Anysphere, Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/cursor	https://api.ashbyhq.com/posting-api/job-board/cursor?includeCompensation=true	unchecked	
Apollo.io	?	Revenue, GTM and Pricing Software	greenhouse	https://boards.greenhouse.io/apolloio	https://boards-api.greenhouse.io/v1/boards/apolloio/jobs	unchecked	
Baseten	?	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/baseten	https://api.ashbyhq.com/posting-api/job-board/baseten?includeCompensation=true	unchecked	
Canva	Canva Inc.	AI-native and Enterprise SaaS	smartrecruiters	https://jobs.smartrecruiters.com/canva		unchecked	
CaptivateIQ	?	Revenue, GTM and Pricing Software	lever	https://jobs.lever.co/captivateiq	https://api.lever.co/v0/postings/captivateiq?mode=json	unchecked	
Clerk	?	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/clerk	https://api.ashbyhq.com/posting-api/job-board/clerk?includeCompensation=true	unchecked	
Cohere	Cohere Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/cohere	https://api.ashbyhq.com/posting-api/job-board/cohere?includeCompensation=true	unchecked	
Confluent	Confluent, Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/confluent	https://api.ashbyhq.com/posting-api/job-board/confluent?includeCompensation=true	unchecked	
Conga	?	Revenue, GTM and Pricing Software	greenhouse	https://boards.greenhouse.io/conga	https://boards-api.greenhouse.io/v1/boards/conga/jobs	unchecked	
Databricks	Databricks, Inc.	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/databricks	https://boards-api.greenhouse.io/v1/boards/databricks/jobs	unchecked	
Datadog	Datadog, Inc.	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/datadog	https://boards-api.greenhouse.io/v1/boards/datadog/jobs	unchecked	
Demandbase	Demandbase, Inc.	Revenue, GTM and Pricing Software	ashby	https://jobs.ashbyhq.com/demandbase	https://api.ashbyhq.com/posting-api/job-board/demandbase?includeCompensation=true	unchecked	
Docebo	Docebo Inc.	Revenue, GTM and Pricing Software	ashby	https://jobs.ashbyhq.com/docebo	https://api.ashbyhq.com/posting-api/job-board/docebo?includeCompensation=true	unchecked	
Drata	Drata Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/drata	https://api.ashbyhq.com/posting-api/job-board/drata?includeCompensation=true	unchecked	
Druva	Druva Inc.	India Venture-backed Startups (Series A-D)	greenhouse	https://boards.greenhouse.io/druva	https://boards-api.greenhouse.io/v1/boards/druva/jobs	n/a	
ElevenLabs	ElevenLabs Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/elevenlabs	https://api.ashbyhq.com/posting-api/job-board/elevenlabs?includeCompensation=true	unchecked	
Figma	Figma, Inc.	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/figma	https://boards-api.greenhouse.io/v1/boards/figma/jobs	unchecked	
Fivetran	Fivetran Inc.	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/fivetran	https://boards-api.greenhouse.io/v1/boards/fivetran/jobs	unchecked	
