company	legal_name	title	url	jd_path	track	score	band	visa_verdict	comp_estimate	comp_source	portfolio_url	tracker_row
Sierra	Sierra Technologies, Inc.	Business Value Strategy and Operations	https://jobs.ashbyhq.com/sierra/de46bdfc-6417-4682-9ef1-a3ead059d369	jds/sierra-business-value-strategy-and-operations.md	us	4.4	full_pack	SPONSOR/BUILD	$170,000-$255,000	JD stated	https://adhi-pricing-ai.vercel.app/ref/sierra	238
Affirm	Affirm, Inc.	Senior Product Manager, Credit & Pricing	https://job-boards.greenhouse.io/affirm/jobs/7773691003	jds/affirm-senior-product-manager-credit-pricing.md	us	4.4	full_pack	SPONSOR	$195,000-$255,000 (CA/WA/NY/NJ/CT); $173,000-$233,000 (other US)	JD stated	https://adhi-product-ai.vercel.app/ref/affirm	
Visa	Visa U.S.A. Inc. (Visa Inc.)	Strategy Associate - Cross Border Strategy & Operations	https://zapply.jobs/l/d/workday-visa-visa-REF087892W?s=gh-new-grad-jobs-2027	jds/visa-strategy-associate-cross-border-strategy-and-operations.md	us	4.3	full_pack	SPONSOR/BUILD	$123,000-$190,900	JD stated	https://adhithyabhaskar.vercel.app/ref/visa	237
Airwallex	Airwallex	Senior Product Manager, T:0 (Agentic) Finance	https://jobs.ashbyhq.com/airwallex/2c7d5655-3bef-40ec-9455-fe129b7c09e8	jds/airwallex-senior-product-manager-t-0-agentic-finance.md	us	4.3	full_pack	SPONSOR/BUILD	$190K-$270K + equity + bonus	JD	https://adhi-product-ai.vercel.app/ref/airwallex	212
Revolut	Revolut Ltd	Entrepreneur in Residence	https://www.linkedin.com/jobs/view/4252983108/	jds/revolut-entrepreneur-in-residence.md	india	4.2	full_pack	NOT-NEEDED	unknown (Revolut India range up to ~60 LPA aggregate, EIR-specific figure not found)	WebSearch (6figr Revolut India aggregate)	https://adhithyabhaskar.vercel.app/ref/revolut	261
Harvey	Counsel AI Corporation (dba Harvey)	Senior Performance Marketing Manager, Paid Social	https://jobs.ashbyhq.com/harvey/b26ccc21-fb10-4428-90be-a7af2076ff77	jds/harvey-senior-performance-marketing-manager-paid-social.md	us	4.2	full_pack	SPONSOR	$136,000-$204,000 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/harvey	175
Airwallex	Airwallex US, LLC	Manager, Performance Marketing, Paid Social	https://jobs.ashbyhq.com/airwallex/1f5ce4c8-f361-412b-be49-1ccbb1262684	jds/airwallex-manager-performance-marketing-paid-social.md	us	4.2	full_pack	SPONSOR	$110,000-$170,000 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/airwallex	173
Airwallex	Airwallex US, LLC	Manager, Performance Marketing, Paid Search	https://jobs.ashbyhq.com/airwallex/dab5e7c1-b168-4680-bb63-ff262b23be81	jds/airwallex-manager-performance-marketing-paid-search.md	us	4.2	full_pack	SPONSOR	$120,000-$170,000 -- JD stated	JD (stated range)	https://adhi-growth-ai.vercel.app/ref/airwallex	174
TikTok	TikTok Inc.	Product Marketing Manager, Audience Measurement	https://www.linkedin.com/jobs/view/4469029957	jds/tiktok-product-marketing-manager-audience-measurement.md	us	4.2	full_pack	TIER-1	$121,600-$272,000/yr	JD	https://adhi-product-ai.vercel.app/ref/tiktok	
Mixpanel	Mixpanel, Inc.	Product Manager	https://job-boards.greenhouse.io/mixpanel/jobs/8223567	jds/mixpanel-product-manager.md	us	4.2	full_pack	TIER-1	$175,000-$210,000 total target cash	JD	https://adhi-product-ai.vercel.app/ref/mixpanel	
MedhaviOne	MedhaviOne	Entrepreneur-in-Residence (EIR)	https://www.linkedin.com/jobs/view/4469004962	jds/medhavione-entrepreneur-in-residence.md	india	4.2	full_pack	NOT-NEEDED	unknown ("fully paid," no figure, no company-specific data found)	india-salary-check-2-queries	https://adhithyabhaskar.vercel.app/ref/medhavione	
ScaleAI	Scale AI, Inc.	Enterprise Deal Desk Analyst	https://job-boards.greenhouse.io/scaleai/jobs/4725451005	jds/scaleai-enterprise-deal-desk-analyst.md	us	4.1	full_pack	SPONSOR	$104,000-$130,000 -- JD stated	JD (stated range)	https://adhi-pricing-ai.vercel.app/ref/scale-ai	159
Intercom	Salesforce, Inc.	Senior Sales Operations Manager	https://job-boards.greenhouse.io/intercom/jobs/8196135	jds/intercom-senior-sales-operations-manager.md	us	4.1	full_pack	SPONSOR	$145,800-$174,150 (Bay Area) -- JD stated	JD (stated range)	https://adhithyabhaskar.vercel.app/ref/intercom	143
