company	legal_name	industry	hq_state	size_band	ats	careers_url	h1b_known	source	first_seen	notes
Gong	Gong.io, Inc.	Revenue, GTM and Pricing Software	CA	mid	smartrecruiters	https://jobs.smartrecruiters.com/gong	unchecked	revgtm-search;smartrecruiters-probe(43)	2026-09-18	region:us; already in data/applications.md as Gong.io (in flight) - include per instructions, note overlap
Zuora	Zuora, Inc.	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/zuora	unchecked	revgtm-search;greenhouse-probe(28)	2026-09-18	region:us; CPQ/billing category leader
Salesloft	Salesloft, Inc.	Revenue, GTM and Pricing Software	GA	mid	greenhouse	https://boards.greenhouse.io/salesloft	unchecked	revgtm-search;greenhouse-probe(34)	2026-09-18	region:us; sales engagement platform
Outreach	Outreach Corporation	Revenue, GTM and Pricing Software	WA	mid	lever	https://jobs.lever.co/outreach	unchecked	revgtm-search;lever-probe(30)	2026-09-18	region:us; sales engagement platform
ZoomInfo	ZoomInfo Technologies Inc.	Revenue, GTM and Pricing Software	TN	mid	greenhouse	https://boards.greenhouse.io/zoominfo	unchecked	revgtm-search;greenhouse-probe(565)	2026-09-18	region:us; revenue intelligence/data
PandaDoc	PandaDoc Inc.	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/pandadoc	unchecked	revgtm-search;greenhouse-probe(20)	2026-09-18	region:us; deal desk / document automation
CaptivateIQ	?	Revenue, GTM and Pricing Software	CA	startup	lever	https://jobs.lever.co/captivateiq	unchecked	revgtm-search;lever-probe(29)	2026-09-18	region:us; commission/comp management (adjacent to pricing/RevOps)
Conga	?	Revenue, GTM and Pricing Software	UT	mid	greenhouse	https://boards.greenhouse.io/conga	unchecked	revgtm-search;greenhouse-probe(123)	2026-09-18	region:us; CPQ and revenue lifecycle management
LeanData	LeanData, Inc.	Revenue, GTM and Pricing Software	CA	startup	ashby	https://jobs.ashbyhq.com/leandata	unchecked	revgtm-search;ashby-probe(9)	2026-09-18	region:us; revops routing/attribution
6sense	6sense Insights, Inc.	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/6sense	unchecked	revgtm-search;greenhouse-probe(62)	2026-09-18	region:us; revenue intelligence/ABM
Gainsight	Gainsight, Inc.	Revenue, GTM and Pricing Software	CA	mid	ashby	https://jobs.ashbyhq.com/gainsight	unchecked	revgtm-search;ashby-probe(16)	2026-09-18	region:us; also resolved on smartrecruiters(5), ashby has more listings
Vitally	?	Revenue, GTM and Pricing Software	NY	startup	ashby	https://jobs.ashbyhq.com/vitally	unchecked	revgtm-search;ashby-probe(1)	2026-09-18	region:us; customer success / revenue platform, low posting count but board proven live
Planhat	?	Revenue, GTM and Pricing Software	CA	startup	ashby	https://jobs.ashbyhq.com/planhat	unchecked	revgtm-search;ashby-probe(38)	2026-09-18	region:us; customer success platform, US office
Freshworks	Freshworks Inc.	Revenue, GTM and Pricing Software	CA	large	smartrecruiters	https://jobs.smartrecruiters.com/freshworks	unchecked	revgtm-search;smartrecruiters-probe(500)	2026-09-18	region:us; CRM/CX suite, dual HQ San Mateo CA / Chennai
Kustomer	Kustomer, Inc.	Revenue, GTM and Pricing Software	NY	startup	ashby	https://jobs.ashbyhq.com/kustomer	unchecked	revgtm-search;ashby-probe(2)	2026-09-18	region:us; CRM/customer service platform
HelpScout	Help Scout, PBC	Revenue, GTM and Pricing Software	MA	startup	ashby	https://jobs.ashbyhq.com/helpscout	unchecked	revgtm-search;ashby-probe(10)	2026-09-18	region:us; remote-first, sales/support CRM
Apollo.io	?	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/apolloio	unchecked	revgtm-search;greenhouse-probe(94)	2026-09-18	region:us; sales engagement / data platform
Navan	Navan, Inc.	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/tripactions	unchecked	revgtm-search;greenhouse-probe(430)	2026-09-18	region:us; formerly TripActions - slug is legacy name tripactions, board resolves live; T&E/spend management
ModelN	Model N, Inc.	Revenue, GTM and Pricing Software	CA	mid	lever	https://jobs.lever.co/modeln	unchecked	revgtm-search;lever-probe(9)	2026-09-18	region:us; pricing/revenue management software, direct PriceKeel category peer
Vendavo	?	Revenue, GTM and Pricing Software	CO	mid	lever	https://jobs.lever.co/vendavo	unchecked	revgtm-search;lever-probe(4)	2026-09-18	region:us; B2B pricing software, direct PriceKeel category peer
Demandbase	Demandbase, Inc.	Revenue, GTM and Pricing Software	CA	mid	ashby	https://jobs.ashbyhq.com/demandbase	unchecked	revgtm-search;ashby-probe(14)	2026-09-18	region:us; ABM/revenue intelligence
Intercom	Intercom, Inc.	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/intercom	unchecked	revgtm-search;greenhouse-probe(220)	2026-09-18	region:us; customer messaging/CRM
Docebo	Docebo Inc.	Revenue, GTM and Pricing Software	CA	mid	ashby	https://jobs.ashbyhq.com/docebo	unchecked	revgtm-search;ashby-probe(47)	2026-09-18	region:us; sales enablement / LMS, US office (Toronto HQ, public co)
Workato	Workato, Inc.	Revenue, GTM and Pricing Software	CA	mid	greenhouse	https://boards.greenhouse.io/workato	unchecked	revgtm-search;greenhouse-probe(385)	2026-09-18	region:us; also resolved on smartrecruiters(27); workflow/CRM automation
Zapier	Zapier Inc.	Revenue, GTM and Pricing Software	CA	mid	ashby	https://jobs.ashbyhq.com/zapier	unchecked	revgtm-search;ashby-probe(7)	2026-09-18	region:us; workflow automation, remote-first
n8n	n8n GmbH	Revenue, GTM and Pricing Software	Remote	startup	ashby	https://jobs.ashbyhq.com/n8n	unchecked	revgtm-search;ashby-probe(35)	2026-09-18	region:us; HQ Berlin Germany but remote-first with real US-remote openings; workflow automation
ScaleAI	Scale AI, Inc.	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/scaleai	unchecked	ai-saas-search;greenhouse-probe(672)	2026-09-18	region:us; data labeling / AI infra
Perplexity	Perplexity AI, Inc.	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/perplexity	unchecked	ai-saas-search;ashby-probe(118)	2026-09-18	region:us; AI search
TogetherAI	?	AI-native and Enterprise SaaS	CA	startup	greenhouse	https://boards.greenhouse.io/togetherai	unchecked	ai-saas-search;greenhouse-probe(78)	2026-09-18	region:us; AI infra/inference; also resolved on smartrecruiters under slug "together"(180)
Cohere	Cohere Inc.	AI-native and Enterprise SaaS	CA	mid	ashby	https://jobs.ashbyhq.com/cohere	unchecked	ai-saas-search;ashby-probe(142)	2026-09-18	region:us; enterprise LLM platform; HQ Toronto, real SF/NYC offices
Databricks	Databricks, Inc.	AI-native and Enterprise SaaS	CA	large	greenhouse	https://boards.greenhouse.io/databricks	unchecked	ai-saas-search;greenhouse-probe(2634)	2026-09-18	region:us; data/AI platform
Snowflake	Snowflake Inc.	AI-native and Enterprise SaaS	MT	large	ashby	https://jobs.ashbyhq.com/snowflake	unchecked	ai-saas-search;ashby-probe(345)	2026-09-18	region:us; data cloud platform
Notion	Notion Labs, Inc.	AI-native and Enterprise SaaS	CA	mid	ashby	https://jobs.ashbyhq.com/notion	unchecked	ai-saas-search;ashby-probe(128)	2026-09-18	region:us; productivity/workflow SaaS
Airtable	Formagrid, Inc. (dba Airtable)	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/airtable	unchecked	ai-saas-search;greenhouse-probe(16)	2026-09-18	region:us; no-code database/workflow
Figma	Figma, Inc.	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/figma	unchecked	ai-saas-search;greenhouse-probe(152)	2026-09-18	region:us; design/product collaboration
Canva	Canva Inc.	AI-native and Enterprise SaaS	CA	large	smartrecruiters	https://jobs.smartrecruiters.com/canva	unchecked	ai-saas-search;smartrecruiters-probe(500)	2026-09-18	region:us; design SaaS; HQ Sydney AU, large US entity/office
Vercel	Vercel Inc.	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/vercel	unchecked	ai-saas-search;greenhouse-probe(168)	2026-09-18	region:us; CAUTION FIXED: prior batch wrongly tagged Vercel ashby off a vanity URL - probe proves greenhouse is correct
Linear	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/linear	unchecked	ai-saas-search;ashby-probe(32)	2026-09-18	region:us; project management SaaS
Amplitude	Amplitude, Inc.	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/amplitude	unchecked	ai-saas-search;greenhouse-probe(76)	2026-09-18	region:us; product analytics
Mixpanel	Mixpanel, Inc.	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/mixpanel	unchecked	ai-saas-search;greenhouse-probe(87)	2026-09-18	region:us; product analytics
Pendo	Pendo.io, Inc.	AI-native and Enterprise SaaS	NC	mid	greenhouse	https://boards.greenhouse.io/pendo	unchecked	ai-saas-search;greenhouse-probe(20)	2026-09-18	region:us; product analytics/experience
LaunchDarkly	Catamorphic Co. (dba LaunchDarkly)	AI-native and Enterprise SaaS	CA	mid	greenhouse	https://boards.greenhouse.io/launchdarkly	unchecked	ai-saas-search;greenhouse-probe(156)	2026-09-18	region:us; feature management platform
PostHog	?	AI-native and Enterprise SaaS	CA	startup	ashby	https://jobs.ashbyhq.com/posthog	unchecked	ai-saas-search;ashby-probe(9)	2026-09-18	region:us; product analytics, remote-first
Sentry	Functional Software, Inc. (dba Sentry)	AI-native and Enterprise SaaS	CA	mid	ashby	https://jobs.ashbyhq.com/sentry	unchecked	ai-saas-search;ashby-probe(44)	2026-09-18	region:us; developer tools/observability
Datadog	Datadog, Inc.	AI-native and Enterprise SaaS	NY	large	greenhouse	https://boards.greenhouse.io/datadog	unchecked	ai-saas-search;greenhouse-probe(4077)	2026-09-18	region:us; observability platform
