company	legal_name	title	url	jd_path	track	visa_gate
Ketch	Ketch	Senior Manager, RevOps (Sales Ops)	https://jobs.lever.co/Ketch/44610f0c-aeb1-4cbf-b11a-ae70b130a72e	jds/ketch-senior-manager-revops-sales-ops.md	us	required
Quantum Metric	Quantum Metric	Deal Desk Analyst	https://jobs.lever.co/quantummetric/f8492601-dd3f-4964-b82b-a19933ed7409	jds/quantum-metric-deal-desk-analyst.md	us	required
Quest Software	Quest Software Inc.	Strategic Pricing Lead	https://www.linkedin.com/jobs/view/4469044136	jds/quest-software-strategic-pricing-lead.md	us	required
Linktree	Linktree Pty Ltd	Senior/Staff Product Marketing Manager, Growth	https://www.linkedin.com/jobs/view/4469035435	jds/linktree-senior-staff-product-marketing-manager-growth.md	us	required
BridgeBio	BridgeBio Pharma, Inc.	Senior Manager, Sales Operations	https://www.linkedin.com/jobs/view/4469067155	jds/bridgebio-senior-manager-sales-operations.md	us	required
Ema	Ema	Revenue Operations Lead	https://www.linkedin.com/jobs/view/4459201068	jds/ema-revenue-operations-lead.md	us	required
Roofstock	Roofstock, Inc.	Senior Product Manager, Leasing	https://www.linkedin.com/jobs/view/4461224893	jds/roofstock-senior-product-manager-leasing.md	us	required
General Motors	General Motors Company	Senior Product Manager - Data Mining and Search	https://www.linkedin.com/jobs/view/4470638045	jds/general-motors-senior-product-manager-data-mining-and-search.md	us	required
Waymo	Waymo LLC	Product Manager, Fleet Management Tools	https://www.linkedin.com/jobs/view/4442228733	jds/waymo-product-manager-fleet-management-tools-mountain-view.md	us	required
Visa	Visa Inc.	Product Manager-Issuer Digital Products	https://www.linkedin.com/jobs/view/4470638673	jds/visa-product-manager-issuer-digital-products.md	us	required
Waymo	Waymo LLC	Product Manager, Fleet Management Tools	https://www.linkedin.com/jobs/view/4442226879	jds/waymo-product-manager-fleet-management-tools-sf.md	us	required
Opal Security	Opal Security, Inc.	Product Manager	https://www.linkedin.com/jobs/view/4367739474	jds/opal-security-product-manager.md	us	required
NVIDIA	NVIDIA Corporation	Senior Product Manager, Kubernetes Accelerated Runtime	https://www.linkedin.com/jobs/view/4460086548	jds/nvidia-senior-product-manager-kubernetes-accelerated-runtime.md	us	required
Vika Talent Solutions	Vika Talent Solutions (for Leading Response)	Senior Product Manager	https://www.linkedin.com/jobs/view/4469279002	jds/vika-talent-solutions-senior-product-manager.md	us	required
Genentech	Genentech, Inc.	Senior Marketing Manager, Ophthalmology Marketing	https://www.linkedin.com/jobs/view/4461542400	jds/genentech-senior-marketing-manager-ophthalmology-marketing.md	us	required
Pallet	Pallet	GTM Strategy: Products and Markets	https://www.linkedin.com/jobs/view/4470605971	jds/pallet-gtm-strategy-products-and-markets.md	us	required
Google	Google LLC	Marketing Strategy Manager, Search and Maps	https://www.linkedin.com/jobs/view/4460031944	jds/google-marketing-strategy-manager-search-and-maps.md	us	required
Renesas Electronics	Renesas Electronics America Inc.	Staff Marketing Specialist-Marketing Manager	https://www.linkedin.com/jobs/view/4470451987	jds/renesas-electronics-staff-marketing-specialist-marketing-manager.md	us	required
Google	Google LLC	Strategy Analyst, Market Intelligence	https://www.linkedin.com/jobs/view/4460258600	jds/google-strategy-analyst-market-intelligence.md	us	required
Corgi	Corgi	Strategy and Operations Associate	https://www.linkedin.com/jobs/view/4470486040	jds/corgi-strategy-and-operations-associate.md	us	required
Lead Bank	Lead Bank	Senior Product Manager	https://jobs.ashbyhq.com/leadbank/32477853-c075-4a83-a621-9aaa30988f72	jds/lead-bank-senior-product-manager.md	us	required
SuperBryn	SuperBryn	Founder's Office	https://www.linkedin.com/posts/nikkitha-shanker_find-me-a-founders-office-hire-and-ill-activity-7498356289459081217-TqyX?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	jds/superbryn-founders-office.md	india	not-applicable
