company	legal_name	title	url	jd_path	track	visa_gate
Cobalt	Cobalt	Senior Growth Marketing Manager	https://www.linkedin.com/jobs/view/4470387524	jds/cobalt-senior-growth-marketing-manager.md	us	required
Ethos	Ethos	Senior Growth Marketing Manager, Lifecycle	https://www.linkedin.com/jobs/view/4426387523	jds/ethos-senior-growth-marketing-manager-lifecycle.md	us	required
American Med Spa Association	American Med Spa Association	Brand & Growth Marketing Manager	https://www.linkedin.com/jobs/view/4470329345	jds/american-med-spa-association-brand-growth-marketing-manager.md	us	required
Docusign	Docusign	GTM Sales Operations Manager	https://www.linkedin.com/jobs/view/4461926524	jds/docusign-gtm-sales-operations-manager.md	us	required
Meta	Meta	Competitive Intelligence Lead	https://www.linkedin.com/jobs/view/4470543956	jds/meta-competitive-intelligence-lead-menlo-park.md	us	required
Meta	Meta	Competitive Intelligence Lead	https://www.linkedin.com/jobs/view/4470559202	jds/meta-competitive-intelligence-lead-san-francisco.md	us	required
RemoteHunter	RemoteHunter (end employer undisclosed)	Competitive Intelligence Manager	https://www.linkedin.com/jobs/view/4470395307	jds/remotehunter-competitive-intelligence-manager.md	us	required
Idea Garage	Idea Garage	Founder's Office	https://wellfound.com/jobs/4523124-founder-s-office	jds/idea-garage-founders-office.md	india	not-applicable
Shortfundly	Shortfundly	Founder's Office Associate	https://wellfound.com/jobs/3385767-founder-s-office-associate	jds/shortfundly-founders-office-associate.md	india	not-applicable
BillCom	BillCom	Senior Sales Operations Analyst	https://www.bill.com/job?6122965004&gh_jid=6122965004	jds/billcom-senior-sales-operations-analyst.md	us	required
BillCom	BillCom	Staff Product Marketing Manager, Partner Integrations	https://www.bill.com/job?6101018004&gh_jid=6101018004	jds/billcom-staff-product-marketing-manager-partner-integrations.md	us	required
ModernTreasury	ModernTreasury	Revenue Operations Systems Admin	https://jobs.ashbyhq.com/moderntreasury/25d2d97f-c2b4-4ab5-ae26-4b68be93e03c	jds/moderntreasury-revenue-operations-systems-admin.md	us	required
Column	Column	Product Manager, Platform Tools	https://jobs.ashbyhq.com/column/6e93fabc-0ebb-4033-9087-c36d01859e8f	jds/column-product-manager-platform-tools-ashby.md	us	required
Socure	Socure	Growth Product Manager, Socure Launch	https://jobs.ashbyhq.com/socure/4a89af18-b762-4a61-8035-db1168505401	jds/socure-growth-product-manager-socure-launch.md	us	required
Socure	Socure	Senior Product Manager, Watchlist	https://jobs.ashbyhq.com/socure/055da1d9-4664-4921-9787-642b34465bba	jds/socure-senior-product-manager-watchlist.md	us	required
Poshmark	Poshmark	Senior Growth Product Manager	https://jobs.ashbyhq.com/poshmark/58c2af50-fb51-4c76-80fd-67d0c5b489b3	jds/poshmark-senior-growth-product-manager.md	us	required
Poshmark	Poshmark	Growth Product Manager, Marketing Technology	https://jobs.ashbyhq.com/poshmark/c36f4395-9da7-4a77-adfd-9abd9e579cf2	jds/poshmark-growth-product-manager-marketing-technology.md	us	required
Poshmark	Poshmark	Product Manager - Lifecycle	https://jobs.ashbyhq.com/poshmark/5cd2854e-c1aa-4d3c-a2df-8e68902bd61e	jds/poshmark-product-manager-lifecycle.md	us	required
Poshmark	Poshmark	Sr. Manager, Product Marketing	https://jobs.ashbyhq.com/poshmark/4be405ab-82d2-4e35-84cb-022ec11d8f5c	jds/poshmark-sr-manager-product-marketing.md	us	required
Poshmark	Poshmark	Sr. Manager, Product Marketing (Posh Live)	https://jobs.ashbyhq.com/poshmark/e0557a25-dde6-4b98-88cd-bc185f703452	jds/poshmark-sr-manager-product-marketing-posh-live.md	us	required
Notion	Notion	Partner Strategy & Operations Lead	https://jobs.ashbyhq.com/notion/5dc7695e-139e-4679-a213-a733ee1d62d5	jds/notion-partner-strategy-operations-lead.md	us	required
PagerDuty	PagerDuty, Inc.	Sales Strategy and Operations Manager	https://job-boards.greenhouse.io/pagerduty/jobs/5835317004	jds/pagerduty-sales-strategy-operations-manager.md	us	required
PagerDuty	PagerDuty, Inc.	Senior Competitive Intelligence Manager	https://job-boards.greenhouse.io/pagerduty/jobs/6132073004	jds/pagerduty-senior-competitive-intelligence-manager.md	us	required
SigmaComputing	SigmaComputing	Strategy and Operations Lead, SE	https://job-boards.greenhouse.io/sigmacomputing/jobs/7782389003	jds/sigmacomputing-strategy-and-operations-lead-se.md	us	required
Baseten	Baseten	Capacity Strategy & Operations	https://jobs.ashbyhq.com/baseten/768bca5d-287f-405a-b677-605317607178	jds/baseten-capacity-strategy-operations.md	us	required
Coinbase	Coinbase	Senior Performance Marketing Manager, Global Paid Social & Mobile UA	https://www.coinbase.com/careers/positions/8192485?gh_jid=8192485	jds/coinbase-senior-performance-marketing-manager-paid-social-mobile-ua.md	us	required
Vercel	Vercel	Senior Deal Desk Analyst	https://job-boards.greenhouse.io/vercel/jobs/6142959004	jds/vercel-senior-deal-desk-analyst.md	us	required
SigmaComputing	SigmaComputing	Sr. Product Marketing Manager, AI	https://job-boards.greenhouse.io/sigmacomputing/jobs/7784470003	jds/sigmacomputing-sr-product-marketing-manager-ai.md	us	required
MongoDB	MongoDB, Inc.	Staff Product Manager, AI Builder Experience	https://www.mongodb.com/careers/job/?gh_jid=8129885	jds/mongodb-staff-product-manager-ai-builder-experience.md	us	required
MongoDB	MongoDB, Inc.	Staff Product Manager - Internal AI	https://www.mongodb.com/careers/job/?gh_jid=7781724	jds/mongodb-staff-product-manager-internal-ai.md	us	required
