company	legal_name	title	url	jd_path	track	visa_verdict	tier	comp_anchor
1Password	AgileBits USA Inc. (dba 1Password)	Senior Commercial Deal Desk Analyst	https://jobs.ashbyhq.com/1password/89bc4c01-4a8d-4d3b-af44-202e3a8a45ce	jds/1password-senior-commercial-deal-desk-analyst.md	us	BUILD	TIER-3	JD-stated $96,000-$134,000 USD (US) / $89,000-$125,000 CAD (Canada)
DoorDash	DoorDash, Inc.	Manager, Sales Strategy & Operations	https://www.linkedin.com/jobs/view/4469382271	jds/doordash-manager-sales-strategy-operations.md	us	BUILD	TIER-1	JD-stated $125,800-$185,000 USD (national base range)
Veeva Systems	Veeva Systems Inc.	Product Marketing Manager / Associate Manager - Veeva Link	https://jobs.lever.co/veeva/8ce6d550-5018-4ba0-beed-a73693b002e8	jds/veeva-systems-product-marketing-manager-associate-manager-veeva-link.md	us	BUILD	TIER-1	median $120,000 for most-filed title (Associate Software Engineer); wage levels I-IV all represented (cached)
EasyEcom		Founder's Office Associate/Chief of Staff	https://wellfound.com/jobs/4567599-founder-s-office-associate-chief-of-staff	jds/easyecom-founders-office-associate-chief-of-staff.md	india	NOT-NEEDED	N/A
TrueFoundry		Founder's Office - FDE Team	https://wellfound.com/jobs/4611492-founder-s-office-fde-team	jds/truefoundry-founders-office-fde-team.md	india	NOT-NEEDED	N/A
Coinbase	Coinbase Global, Inc. (filings recorded under "Coinbase Inc")	Product Manager II, Growth - Notifications	https://www.coinbase.com/careers/positions/8204571?gh_jid=8204571	jds/coinbase-product-manager-ii-growth-notifications.md	us	BUILD	TIER-1	median H1B salary $180,000 across 23 states (aggregate, cached)
Coinbase	Coinbase Global, Inc. (filings recorded under "Coinbase Inc")	Product Manager II, Workspace and Multi-User	https://www.coinbase.com/careers/positions/8148171?gh_jid=8148171	jds/coinbase-product-manager-ii-workspace-multi-user.md	us	BUILD	TIER-1	median H1B salary $180,000 across 23 states (aggregate, cached)
Coinbase	Coinbase Global, Inc. (filings recorded under "Coinbase Inc")	Product Marketing Manager, Prediction Markets	https://www.coinbase.com/careers/positions/7982771?gh_jid=7982771	jds/coinbase-product-marketing-manager-prediction-markets.md	us	BUILD	TIER-1	median H1B salary $180,000 across 23 states (aggregate, cached)
Coinbase	Coinbase Global, Inc. (filings recorded under "Coinbase Inc")	Product Marketing Manager, Prime & Markets	https://www.coinbase.com/careers/positions/7572514?gh_jid=7572514	jds/coinbase-product-marketing-manager-prime-markets.md	us	BUILD	TIER-1	median H1B salary $180,000 across 23 states (aggregate, cached)
Coinbase	Coinbase Global, Inc. (filings recorded under "Coinbase Inc")	Senior Enterprise Product Marketing Manager, Base	https://www.coinbase.com/careers/positions/8084049?gh_jid=8084049	jds/coinbase-senior-enterprise-product-marketing-manager-base.md	us	BUILD	TIER-1	median H1B salary $180,000 across 23 states (aggregate, cached)
Socure	Socure, Inc.	Senior Product Marketing Manager	https://jobs.ashbyhq.com/socure/90641053-f77c-4f88-b8ce-b9553d499782	jds/socure-senior-product-marketing-manager.md	us	BUILD	TIER-1	not stated in JD
Instacart	Maplebear Inc. (dba Instacart)	Senior Product Manager, Ads Quality	https://instacart.careers/job/?gh_jid=8077512	jds/instacart-senior-product-manager-ads-quality-ca.md	us	BUILD	TIER-1	cached: CA/NY/CT/NJ $221,000-$233,000; WA $212,000-$223,500; other listed states $203,000-$214,000; all other US states $184,000-$194,000
