company	title	url	drop_reason
Profound	Deal Desk Lead	https://jobs.ashbyhq.com/Profound/3b099693-55d3-4eec-8597-adf1f7ac167d	closed-not-in-active-ashby-listing
Cloudflare	Pricing Operations Manager	https://boards.greenhouse.io/cloudflare/jobs/5575948	closed-redirects-to-generic-careers-page
LaunchDarkly	Product Manager, Experimentation	https://boards.greenhouse.io/launchdarkly/jobs/5406607003	closed-not-in-active-greenhouse-listing
Samsara	Associate Product Manager (New Grad)	https://boards.greenhouse.io/recruitingprograms/jobs/4759150	closed-board-has-no-current-openings
Blowtrumpet	Founder's Office - AdTech Arch. and Systems	https://www.linkedin.com/jobs/view/4456617865/	closed-no-longer-accepting-applications
Genloop	Founder's Office	https://www.linkedin.com/jobs/view/4456649283/	closed-no-longer-accepting-applications
The Wise Parrot	Founder's Office - Business Operations & Growth	https://www.linkedin.com/jobs/view/4432343275/	closed-no-longer-accepting-applications
Digantara	Associate/Senior Associate Founder's Office	https://www.linkedin.com/jobs/view/4456202570/	closed-no-longer-accepting-applications
MyRemoteTeam Inc	founder's office	https://www.linkedin.com/jobs/view/4457082130/	closed-no-longer-accepting-applications
The Pivot Health	Founder's Office Associate	https://www.linkedin.com/jobs/view/4456200849/	closed-no-longer-accepting-applications
SuprSend	Founder's Office - GTM	https://www.linkedin.com/jobs/view/4454647546/	closed-no-longer-accepting-applications
SoulPOP	Founder's Office Associate - Growth Hacker	https://www.linkedin.com/jobs/view/4455659269/	closed-no-longer-accepting-applications
Revspot	Program Manager - Founder's Office	https://www.linkedin.com/jobs/view/4408309523/	closed-no-longer-accepting-applications
?	Founder's Office	https://www.linkedin.com/posts/rakhipal_three-of-our-clients-in-mumbai-are-currently-activity-7496467421109829632-DTRa	no-jd-content-linkedin-post-not-a-posting
Swageazy	Founder's Office	https://www.linkedin.com/posts/swageazy_open-positions-at-swageazy-activity-7496431506647605248-j8Al	no-jd-content-linkedin-post-not-a-posting
Lumiere Education	Founder's Office	https://www.linkedin.com/posts/reach-saloni_i-left-consulting-in-2023-to-join-a-15-person-activity-7496114860859039744-SjLQ	no-jd-content-linkedin-post-not-a-posting
