source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
board:greenhouse	board:greenhouse	Zuora	Sr. Analyst, Revenue Operations and Analytics	Remote - United States	https://boards.greenhouse.io/zuora/jobs/8137987?gh_jid=8137987	2026-09-09	11.5			
board:greenhouse	board:greenhouse	ZoomInfo	Senior Events Marketing Manager	Remote-US	https://www.zoominfo.com/careers?gh_jid=8738595002	2026-09-03	17.5			
board:greenhouse	board:greenhouse	ZoomInfo	Senior Product Manager	Remote	https://www.zoominfo.com/careers?gh_jid=8561603002	2026-08-14	37.5			
board:greenhouse	board:greenhouse	6sense	Partner Marketing Manager	United States, Remote	https://boards.greenhouse.io/6sense/jobs/8055700?gh_jid=8055700	2026-09-17	3.5			
board:greenhouse	board:greenhouse	Apollo.io	Deal Desk Analyst	Remote, United States	https://job-boards.greenhouse.io/apolloio/jobs/6008747004	2026-08-14	37.5			
board:greenhouse	board:greenhouse	Apollo.io	Go-To-Market Engineer II, Mid-Market	Remote, United States	https://job-boards.greenhouse.io/apolloio/jobs/5918855004	2026-08-14	37.5			
board:greenhouse	board:greenhouse	Apollo.io	Senior Direct Marketing Manager II	Remote, United States	https://job-boards.greenhouse.io/apolloio/jobs/6129811004	2026-08-14	37.5			
board:greenhouse	board:greenhouse	Apollo.io	Senior Product Manager, Expansion	Remote, United States	https://job-boards.greenhouse.io/apolloio/jobs/6140340004	2026-08-14	37.5			
board:lever	board:lever	CaptivateIQ	Senior Product Marketing Manager	Remote	https://jobs.lever.co/captivateiq/ec2db847-c98b-4aa8-b7a1-8b02b181cb3c	2025-05-30	478.5			
board:lever	board:lever	CaptivateIQ	Staff Product Manager - CIA	Remote	https://jobs.lever.co/captivateiq/47af968b-147f-4953-9b42-6d8862d40983	2026-02-13	219.5			
board:greenhouse	board:greenhouse	Navan	Product Marketing Manager	San Francisco, CA	https://navan.com/careers/openings?gh_jid=8054360	2026-08-19	32.5			
board:greenhouse	board:greenhouse	Navan	Senior Product Manager, ERP	Palo Alto, CA or San Francisco, CA	https://navan.com/careers/openings?gh_jid=8170883	2026-09-16	4.5			
board:greenhouse	board:greenhouse	Navan	Sr. Marketing Analytics Manager	San Francisco, CA	https://navan.com/careers/openings?gh_jid=8030479	2026-09-16	4.5			
board:ashby	board:ashby	Demandbase	Senior Product Manager, AI Adoption & Growth	US - Remote	https://jobs.ashbyhq.com/demandbase/97e337ab-a0bd-4ea9-8d83-80f63acfbe7d	2026-09-16	4.5			
board:greenhouse	board:greenhouse	Intercom	Senior Forward Deployed Product Manager	San Francisco, California	https://job-boards.greenhouse.io/intercom/jobs/7111007	2026-09-16	4.5			
board:greenhouse	board:greenhouse	Intercom	Senior Sales Operations Manager	San Francisco, California	https://job-boards.greenhouse.io/intercom/jobs/8196135	2026-09-18	2.5			
board:greenhouse	board:greenhouse	Workato	Partner Marketing Manager	Palo Alto, California	https://www.workato.com/careers?gh_jid=8645758002#open-roles	2026-09-01	19.5			
board:greenhouse	board:greenhouse	Workato	Senior ABM & Demand Generation Manager	San Francisco, California	https://www.workato.com/careers?gh_jid=8790899002#open-roles	2026-09-09	11.5			
board:greenhouse	board:greenhouse	Workato	Staff Product Manager (Build Experience - Agentic)	Palo Alto, California	https://www.workato.com/careers?gh_jid=8326092002#open-roles	2026-09-01	19.5			
board:greenhouse	board:greenhouse	Workato	Staff Product Manager (Build Experience - Platform)	Palo Alto, California	https://www.workato.com/careers?gh_jid=8154474002#open-roles	2026-09-01	19.5			
board:greenhouse	board:greenhouse	Workato	Staff Product Manager (Evals)	Palo Alto, California	https://www.workato.com/careers?gh_jid=8392595002#open-roles	2026-09-01	19.5			
board:ashby	board:ashby	Perplexity	Product Marketing Manager, Partnerships	San Francisco	https://jobs.ashbyhq.com/perplexity/d5bc2302-202f-4596-9c4d-8720d1e79064	2026-07-30	52.5			
board:ashby	board:ashby	Perplexity	Associate Product Marketing Manager	San Francisco	https://jobs.ashbyhq.com/perplexity/08f1a218-bdff-4cdd-aefe-0d55529b1ece	2026-07-15	67.5			
board:ashby	board:ashby	Perplexity	Product Marketing Manager	San Francisco	https://jobs.ashbyhq.com/perplexity/5ec96ca1-319a-4b85-99ce-e06629099cf9	2026-01-15	248.5			
board:ashby	board:ashby	Perplexity	Demand Generation Lead	San Francisco	https://jobs.ashbyhq.com/perplexity/2be717cb-ad3e-4052-a464-79b107a70406	2026-03-17	187.5			
board:ashby	board:ashby	Perplexity	Field Marketing Manager	San Francisco	https://jobs.ashbyhq.com/perplexity/d7e05546-4d42-4f1a-8ccd-c95d2519f5f6	2026-09-02	18.5			
board:ashby	board:ashby	Perplexity	Solutions Product Marketing Manager	San Francisco	https://jobs.ashbyhq.com/perplexity/9e3a4516-b893-4579-9a6a-3720658e4b6d	2026-08-11	40.5			
board:ashby	board:ashby	Perplexity	Product Manager (Builder)	San Francisco	https://jobs.ashbyhq.com/perplexity/f25e190e-0508-4707-b575-fcaed358dc13	2026-04-21	152.5			
board:ashby	board:ashby	Perplexity	Product Marketing Manager, API	San Francisco	https://jobs.ashbyhq.com/perplexity/dd9c7675-1369-4320-afdb-c8caef22ce3a	2026-06-17	95.5			
board:ashby	board:ashby	Perplexity	GTM Strategy & Operations Lead	San Francisco	https://jobs.ashbyhq.com/perplexity/b75db90b-ca13-4a2f-aac4-c7764b631540	2026-07-24	58.5			
board:ashby	board:ashby	Perplexity	Revenue Operations Analyst	San Francisco	https://jobs.ashbyhq.com/perplexity/03f8f956-1cb3-4945-81d1-73b7ff048d4e	2026-08-06	45.5			
board:ashby	board:ashby	Perplexity	Product Manager, Mobile Apps	San Francisco	https://jobs.ashbyhq.com/perplexity/3c9c051f-e6ca-4a70-9abf-1f640e154ee1	2026-09-02	18.5			
board:ashby	board:ashby	Perplexity	Product Manager, Core Experience	San Francisco	https://jobs.ashbyhq.com/perplexity/6f3c5131-2efa-400c-8248-44203a4dbfbb	2026-09-02	18.5			
board:ashby	board:ashby	Perplexity	Product Manager, AI Capabilities	San Francisco	https://jobs.ashbyhq.com/perplexity/7f880194-7276-4b46-8a50-58b48da8882e	2026-09-02	18.5			
board:lever	board:lever	Outreach	Senior Global Partner Marketing Manager	United States	https://jobs.lever.co/outreach/7f694c94-ed50-4b62-a07d-6239721126c1	2026-09-01	19.5			
board:lever	board:lever	Outreach	Senior Growth Marketing Manager, Commercial/Mid-Market	United States	https://jobs.lever.co/outreach/dd0cc884-9b03-4b4b-9d89-1124da324071	2026-08-25	26.5			
board:lever	board:lever	Outreach	Senior Growth Marketing Manager, Global Strategic	United States	https://jobs.lever.co/outreach/2b86fc52-f4c7-4c5c-863b-4bba146b914a	2026-08-25	26.5			
board:lever	board:lever	Outreach	Senior Performance Marketing Manager	United States	https://jobs.lever.co/outreach/7b5bb182-25d0-45ec-912e-5a46892dbeb4	2026-08-17	34.5			
board:greenhouse	board:greenhouse	TogetherAI	Associate, Infrastructure Strategy & Operations	San Francisco	https://job-boards.greenhouse.io/togetherai/jobs/5152193007	2026-09-10	10.5			
board:greenhouse	board:greenhouse	ScaleAI	AI Product Manager (Coding/Multimodal)	San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4609736005	2026-08-20	31.5			
board:greenhouse	board:greenhouse	ScaleAI	Enterprise Deal Desk Analyst	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4725451005	2026-08-27	24.5			
board:greenhouse	board:greenhouse	ScaleAI	Growth Strategy & Operations Lead	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4701543005	2026-09-17	3.5			
board:greenhouse	board:greenhouse	ScaleAI	Product Manager, Enterprise Core Platform	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4699779005	2026-08-04	47.5			
board:greenhouse	board:greenhouse	ScaleAI	Product Marketing Lead, Enterprise	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4722998005	2026-08-12	39.5			
board:greenhouse	board:greenhouse	ScaleAI	Senior AI Product Manager, Code	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4720501005	2026-08-04	47.5			
board:greenhouse	board:greenhouse	ScaleAI	Senior AI Product Manager, Cybersecurity	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4720213005	2026-08-04	47.5			
board:greenhouse	board:greenhouse	ScaleAI	Senior AI Product Manager, Finance Agents	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4611776005	2026-08-04	47.5			
board:greenhouse	board:greenhouse	ScaleAI	Senior AI Product Manager, Leaderboard	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4720216005	2026-08-10	41.5			
board:greenhouse	board:greenhouse	ScaleAI	Staff Product Manager, Agentic Platform	New York, NY; San Francisco, CA; Washington, DC	https://job-boards.greenhouse.io/scaleai/jobs/4612403005	2026-08-26	25.5			
board:greenhouse	board:greenhouse	ScaleAI	Staff Product Manager, Gen AI	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4675842005	2026-09-01	19.5			
board:greenhouse	board:greenhouse	ScaleAI	Staff Product Manager, Physical AI Data & Robotics	San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4718559005	2026-09-16	4.5			
board:greenhouse	board:greenhouse	Databricks	AMER Energy Industry Go-To-Market (GTM) Leader	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8675320002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Associate Product Manager, New Grad (2027 Start)	Bellevue, Washington; Mountain View, California; San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=7586263002	2026-08-18	33.5			
board:greenhouse	board:greenhouse	Databricks	Event Marketing Manager, 3P & Partner	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8638637002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Go-To-Market (GTM) Digital Natives Program Leader	San Francisco, California; United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8356420002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Lead Learning Product Manager	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8780470002	2026-09-11	9.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Event Marketing Manager, Field Programming	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8638648002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Industry Marketing Manager, Manufacturing & Supply Chain	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8702736002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Industry Marketing Manager, Startups	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8638650002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Product Manager, Compute Platform	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8200462002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Product Manager, Databricks AI	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8136071002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Product Manager, Databricks Free Edition	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=7680573002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Product Manager, Databricks Repos	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8326513002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Product Manager, Data Engineering	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=6322654002	2026-08-18	33.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Product Manager, Data Governance	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=7863365002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr Product Manager, Employee Experience	Mountain View, California; San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8203285002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Sr. Strategy & Operations Program Lead, Accenture Business Group	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8439170002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Staff Product Manager, Agentic AI Applications	Mountain View, California; San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8560772002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Staff Product Manager, SAP	Mountain View, California; San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8679974002	2026-09-02	18.5			
board:greenhouse	board:greenhouse	Databricks	Staff Product Manager, Security	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=7110499002	2026-08-18	33.5			
