source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
linkedin	linkedin	Self-entrepreneur	Independent Entrepreneur	Pune/Pimpri-Chinchwad Area	https://www.linkedin.com/jobs/view/4467353096	2026-09-21	0.46			
linkedin	linkedin	ZB ECOTECH INFRA PRIVATE LIMITED	Co-Founder	Hyderabad, Telangana, India	https://www.linkedin.com/jobs/view/4467334306	2026-09-20	1.46			
linkedin	linkedin	Arham IT Solution	Co-Founder	Rahuri, Maharashtra, India	https://www.linkedin.com/jobs/view/4467372070	2026-09-21	0.46			
linkedin	linkedin	Intellectual Capital HR Consulting Pvt. Ltd.	Founder’s Office for Asset Management Firm	Mumbai, Maharashtra, India	https://www.linkedin.com/jobs/view/4467373444	2026-09-21	0.46			
linkedin	linkedin	Tingu Tales	Cofounder (Growth & Marketing)	Greater Bengaluru Area	https://www.linkedin.com/jobs/view/4468497922	2026-09-21	0.46			
linkedin	linkedin	T-Hub	Head – Innovation & Startup Ecosystem	Hyderabad, Telangana, India	https://www.linkedin.com/jobs/view/4469857287	2026-09-21	0.46			
linkedin	linkedin	1bee	Program Associate	India	https://www.linkedin.com/jobs/view/4468442160	2026-09-21	0.46			
linkedin	linkedin	SNH INNOVATION LLP	Associate Founder	Vadodara, Gujarat, India	https://www.linkedin.com/jobs/view/4467355559	2026-09-21	0.46			
linkedin	linkedin	Rightwayskill	Co-Founder	Hyderabad, Telangana, India	https://www.linkedin.com/jobs/view/4467342289	2026-09-20	1.46			
linkedin	linkedin	Blackfly Solution	Co-Founder	Nagpur, Maharashtra, India	https://www.linkedin.com/jobs/view/4468701976	2026-09-21	0.46			
linkedin	linkedin	Orange Elephant	Business Head - Operation & Expansion	Pune Division, Maharashtra, India	https://www.linkedin.com/jobs/view/4467376430	2026-09-21	0.46			
linkedin	linkedin	M3M India Private Limited	Manager — Founder's Office (AI-Enabled Research & Insights)	Gurugram, Haryana, India	https://www.linkedin.com/jobs/view/4467372018	2026-09-21	0.46			
linkedin	linkedin	FruitBowl Digital	Agency Head	Mumbai, Maharashtra, India	https://www.linkedin.com/jobs/view/4468498886	2026-09-21	0.46			
linkedin	linkedin	The Bhargav Group	Architect	Chennai, Tamil Nadu, India	https://www.linkedin.com/jobs/view/4468498648	2026-09-21	0.46			
linkedin	linkedin	Dharmalife	State Head- Uttar Pradesh (Programmes, Partnerships & Business)	Lucknow, Uttar Pradesh, India	https://www.linkedin.com/jobs/view/4464507068	2026-09-21	0.46			
linkedin	linkedin	GoodSpace AI	Technical Product Manager	Mumbai, Maharashtra, India	https://www.linkedin.com/jobs/view/4467365217	2026-09-21	0.46			
linkedin	linkedin	North Star Identity	Growth & Marketing Lead	India	https://www.linkedin.com/jobs/view/4468486984	2026-09-21	0.46			
