source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
gsheet:india-growth-cos	gsheet:india-growth-cos	Urban Company	Category Manager	Hyderabad, India	https://www.linkedin.com/posts/shruti-kukreti-001304174_areaabrsalesabrmanager-operationsabrmanager-activity-7500081967477153792-v1Gq?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			experience 1-3
gsheet:india-growth-cos	gsheet:india-growth-cos	Flickd	Sales & Partnerships Associate	Delhi, India	https://www.linkedin.com/posts/dheekshith-kumar_jd-activity-7500100085431853056-FbyH?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	Blinkit	Category Operations Intern - Perishables	Gurugram, India	https://www.linkedin.com/posts/ranveersinghichhponani_were-hiring-interns-at-blinkit-in-the-fresh-activity-7500087274206937088-afSW?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	Battery Smart	Founder’s Office – Business Planning & Analysis	Gurugram, India	https://www.linkedin.com/posts/shreyansh-verma_were-hiring-for-the-founders-office-business-activity-7500066731038744577-dzQy?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			MBA Yes
gsheet:india-growth-cos	gsheet:india-growth-cos	Hummingbird	Founder’s Office	Ahmedabad, India	https://www.linkedin.com/posts/harsha-bhurani-hb_hummingbird-is-hiring-founders-office-activity-7500084083654533120-SoD9?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			experience 1-4
gsheet:india-growth-cos	gsheet:india-growth-cos	Kiddo	Category Intern (2)	Noida, India	https://www.linkedin.com/posts/radhikaa-kapoor_going-on-a-hiring-spree-again-looking-for-activity-7500106190815719424-c6m7?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	Kiddo	Category Manager	Noida, India	https://www.linkedin.com/posts/radhikaa-kapoor_going-on-a-hiring-spree-again-looking-for-activity-7500106190815719424-c6m7?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	ClassCliq	Founder’s Office Executive	Mumbai, India	https://www.linkedin.com/jobs/view/4458886410/	2026-08-31	26			experience 1-4
gsheet:india-growth-cos	gsheet:india-growth-cos	Snapmint	Founder's Office	Bengauru, India	https://www.linkedin.com/jobs/view/4461208227/	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	Cube	Chief of Staff	Bengauru, India	https://www.linkedin.com/jobs/view/4460029306/	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	Flam	Founder's Office	Bengauru, India	https://www.linkedin.com/jobs/view/4458899403/	2026-08-31	26			experience 2-5
gsheet:india-growth-cos	gsheet:india-growth-cos	Taglynk	Founder's Office	Bengauru, India	https://www.linkedin.com/jobs/view/4458890010/	2026-08-31	26			experience 6+; MBA Yes
gsheet:india-growth-cos	gsheet:india-growth-cos	Swiggy	Senior GTM Manager- (Product)	Bengauru, India	https://www.linkedin.com/jobs/view/4458878653/	2026-08-31	26			experience 4-5
gsheet:india-growth-cos	gsheet:india-growth-cos	Kapture CX	Growth GTM	Gurugram, India	https://www.linkedin.com/jobs/view/4459206048/	2026-08-31	26			experience 5+
gsheet:india-growth-cos	gsheet:india-growth-cos	BrowserStack	Sr.Lead/Manager - Growth	Mumbai, India	https://www.linkedin.com/jobs/view/4451551116/	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	Cube	Entrepreneur in Residence	Bengauru, India	https://www.linkedin.com/jobs/view/4460030245/	2026-08-31	26			experience 2-5
gsheet:india-growth-cos	gsheet:india-growth-cos	Excelohunt	Management Trainee (Founder's Office)	Chandigarh, India	https://www.linkedin.com/jobs/view/4459213291/	2026-08-31	26			
gsheet:india-growth-cos	gsheet:india-growth-cos	RIA Insurance	Entrepreneur in Residence	Delhi, India	https://www.linkedin.com/jobs/view/4458884408/	2026-08-31	26			experience 8+
gsheet:india-growth-cos	gsheet:india-growth-cos	OneXtel	Chief of Staff – Strategic CEO Office	Noida, India	https://www.linkedin.com/jobs/view/4452398384/	2026-08-31	26			experience 3-5
gsheet:india-growth-cos	gsheet:india-growth-cos	BrightCHAMPS	Associate - Founder's Office	Bengauru, India	https://www.linkedin.com/jobs/view/4459778311/	2026-08-31	26			experience 0-2
gsheet:india-growth-cos	gsheet:india-growth-cos	Wisemonk	Founder's Office - GTM Associate	Bengauru, India	https://www.linkedin.com/jobs/view/4459795162/	2026-08-31	26			experience 2-3
gsheet:india-growth-cos	gsheet:india-growth-cos	Kalvium	Entrepreneur In Residence	Coimbatore, India	https://www.linkedin.com/jobs/view/4459490157/	2026-08-31	26			experience 1-4
gsheet:india-growth-cos	gsheet:india-growth-cos	Airwallex	Senior Manager, Strategy & Operations, CEO Office	Singapore	https://www.linkedin.com/feed/update/urn:li:activity:7498974205754118144?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7498974205754118144%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29	2026-08-30	27			
gsheet:india-growth-cos	gsheet:india-growth-cos	Traya	Business Strategy Intern	Mumbai, India	https://www.linkedin.com/feed/update/urn:li:activity:7499864400632406016?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7499864400632406016%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29	2026-08-30	27			
gsheet:india-growth-cos	gsheet:india-growth-cos	Airwallex	Senior Associate, Strategy & Operations, CEO Office	Singapore	https://www.linkedin.com/feed/update/urn:li:activity:7498974205754118144?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7498974205754118144%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29	2026-08-30	27			
gsheet:india-growth-cos	gsheet:india-growth-cos	Swiggy	Senior Manager- Growth	Bengauru, India	https://www.linkedin.com/feed/update/urn:li:activity:7499714794527109121?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7499714794527109121%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29	2026-08-30	27			experience 5-7
gsheet:india-growth-cos	gsheet:india-growth-cos	Flipkart	Asst. Program Manager – Central & Ground Operations	Bengauru, India	https://www.linkedin.com/posts/activity-7499569838760181760-I33K?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-30	27			experience 3+
gsheet:india-growth-cos	gsheet:india-growth-cos	Quippy	Social and Growth Lead	SF	https://www.linkedin.com/feed/update/urn:li:activity:7499462131055181824?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7499462131055181824%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29	2026-08-30	27			
gsheet:india-growth-cos	gsheet:india-growth-cos	Quippy	Social and Growth Intern	SF	https://www.linkedin.com/feed/update/urn:li:activity:7499462131055181824?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7499462131055181824%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29	2026-08-30	27			
gsheet:india-growth-cos	gsheet:india-growth-cos	Rothenhall Partners	Founder's Office	Remote, India	https://wellfound.com/jobs?job_listing_slug=4650697-founder-s-office	2026-08-30	27			
gsheet:india-growth-cos	gsheet:india-growth-cos	Scapia	𝗚𝗿𝗼𝘄𝘁𝗵 𝗜𝗻𝘁𝗲𝗿𝗻	Bengauru, India	https://www.linkedin.com/posts/huzefa4_growth-intern-application-scapia-activity-7499735992145334272-gIZW?utm_source=share&utm_medium=member_desktop&rcm=ACoAACyt6owBgCJAq-TByNiprZWFxqH4aBa72eo	2026-08-30	27			experience Freshers
