rank_score	role_family	company	title	location	url	age_days	sponsorship_hint	salary	sources	seen_company	pack_incomplete	rank_notes	track	visa_gate
64	pricing	SingleStore	Staff Product Manager - Pricing Strategy, Monetization, and Analytics	Remote, United States	https://boards.greenhouse.io/singlestore/jobs/5914884				websearch-agent			role:pricing,industry:Revenue, GTM and Pricing Software,remote	us	required
64	marketing	AllTrails	Senior Product Marketing Manager	Remote (US)	https://jobs.lever.co/alltrails/cd258cd8-64ca-42cc-8ac4-c94379e6448a				websearch-agent			role:marketing,industry:AI-native and Enterprise SaaS,remote	us	required
64	marketing	Drivetrain	Product Marketing Manager	San Francisco Bay Area / Remote	https://jobs.lever.co/drivetrain/ba7f3003-5832-41c8-accd-3f5a174d68d6				websearch-agent			role:marketing,industry:AI-native and Enterprise SaaS,remote	us	required
64	pricing	Rula	Sr. Finance Manager - Deal Desk	Remote, USA	https://jobs.ashbyhq.com/rula/a2a4a220-714b-4460-82f1-3ae926b14ac9				websearch-agent			role:pricing,industry:Revenue, GTM and Pricing Software,remote	us	required
61	pricing	Twilio	Senior Manager, Pricing and Monetization	San Francisco Bay Area, CA	https://boards.greenhouse.io/twilio/jobs/4947196			155600-194500	websearch-agent			role:pricing,industry:Revenue, GTM and Pricing Software	us	required
61	revops	Relevance AI	Revenue Operations Lead	San Francisco, CA	https://jobs.ashbyhq.com/relevanceai/c8c6cb59-c1d9-4b14-b60c-29ca746ecc30				websearch-agent			role:revops,industry:AI-native and Enterprise SaaS	us	required
61	revops	Doss	Revenue Operations (RevOps) Lead		https://jobs.ashbyhq.com/doss/c9c1516b-d356-4b1f-b80a-471d45180f2d				websearch-agent			role:revops,industry:Revenue, GTM and Pricing Software	us	required
61	revops	Go Nimbly	RevOps Technical Program Manager		https://jobs.ashbyhq.com/go-nimbly/148f1293-2d6b-4f2e-b1a1-4c72649ff2cf/application				websearch-agent			role:revops,industry:Revenue, GTM and Pricing Software	us	required
61	pricing	Chronosphere	Deal Desk Manager		https://jobs.ashbyhq.com/chronospherejobs/c5c4a725-09df-4995-afbb-e8ad13aa56d6				websearch-agent			role:pricing,industry:Revenue, GTM and Pricing Software	us	required
59	founders_office	SalesMonk.ai	Founder's Office Associate	Gurgaon, India	https://www.instahyre.com/job-401332-founders-office-associate-at-salesmonk-gurgaon/				websearch-agent			role:founders_office,industry:AI-native and Enterprise SaaS	india	not-applicable
54	head_of_growth	Aseflow Wellness	Co-Founder & Head of Growth	Pune, India (Remote)	https://wellfound.com/jobs/4557369-co-founder-head-of-growth				websearch-agent			role:head_of_growth,remote	india	not-applicable
54	head_of_growth	Scopex	Head of Growth	Bangalore Urban, India (Remote)	https://wellfound.com/jobs/3620080-head-of-growth-marketing				websearch-agent			role:head_of_growth,remote	india	not-applicable
54	pricing	Planet	Strategic Pricing Manager	Remote	https://boards.greenhouse.io/planetlabs/jobs/4701888				websearch-agent			role:pricing,remote	us	required
54	pricing	Upwork	Lead, Pricing Strategy Analyst	Remote	https://boards.greenhouse.io/upwork/jobs/5971510003				websearch-agent			role:pricing,remote	us	required
54	marketing	Gauntlet	Product Marketing Manager	San Francisco / NYC / LA / Remote	https://jobs.lever.co/gauntlet/e277e612-2b24-42bb-bd39-9b45cb21413b				websearch-agent			role:marketing,remote	us	required
54	marketing	Wealthfront	Lead Product Marketing Manager, Cash	Palo Alto, CA / Remote	https://jobs.lever.co/wealthfront/30005dd5-c400-46ad-acf3-7ce26da7d807				websearch-agent			role:marketing,remote	us	required
54	marketing	Anzen	Product Marketing Manager	San Francisco, CA / Remote	https://jobs.lever.co/anzen/8b094ce6-a210-42b5-bd53-32604eb27c7b				websearch-agent			role:marketing,remote	us	required
54	product	Twilio	Staff Product Manager	Remote, USA	https://boards.greenhouse.io/twilio/jobs/4934674			188320-235400	websearch-agent			role:product,remote	us	required
51	chief_of_staff	Krishna Consultancy	Chief of staff	Raipur, India	https://in.linkedin.com/jobs/view/chief-of-staff-at-krishna-consultancy-3671979868				websearch-agent			role:chief_of_staff	india	not-applicable
51	chief_of_staff	Vedantu	Chief of Staff	Bengaluru, India	https://in.linkedin.com/jobs/view/chief-of-staff-at-vedantu-4435454052				websearch-agent			role:chief_of_staff	india	not-applicable
51	chief_of_staff	Veersa Technologies	Chief of Staff	India	https://in.linkedin.com/jobs/view/chief-of-staff-at-veersa-technologies-4413654653				websearch-agent			role:chief_of_staff	india	not-applicable
51	chief_of_staff	Leadership Hiring	Executive Assistant/Chief of Staff - IIM/FMS/MDI/XLRI	Delhi, India	https://in.linkedin.com/jobs/view/executive-assistant-chief-of-staff-iim-fms-mdi-xlri-at-leadership-hiring-3518911157				websearch-agent			role:chief_of_staff	india	not-applicable
51	pricing	Upgrade	Senior Pricing Manager	San Francisco, CA	https://boards.greenhouse.io/upgrade/jobs/4373412005			150000-160000	websearch-agent			role:pricing	us	required
51	pricing	Intercom	Pricing Manager		https://boards.greenhouse.io/intercom/jobs/3215342				websearch-agent	yes-check-tracker-row-first		role:pricing	us	required
51	marketing	Included Health	Product Marketing Manager		https://jobs.lever.co/includedhealth/c93aaf09-c024-4323-a05a-e3baa6e3e4b2				websearch-agent			role:marketing	us	required
51	revops	Cohere	Revenue Operations Analyst (Analytics)	San Francisco, CA / NYC / Toronto	https://jobs.ashbyhq.com/cohere/cd3eacfe-1169-4df0-8164-93a857d5ddf0				websearch-agent			role:revops	us	required
51	revops	Recall	Revenue Operations Manager	San Francisco, CA (in person)	https://jobs.ashbyhq.com/Recall/08a69e2e-6d92-4465-9805-086a741dcdac				websearch-agent			role:revops	us	required
51	revops	Assembled	Revenue Operations Lead		https://jobs.ashbyhq.com/assembledhq/f6e35481-fb99-4c57-abe6-ba3014391ad6				websearch-agent			role:revops	us	required
51	revops	Nooks	Senior Revenue Operations Manager		https://jobs.ashbyhq.com/nooks/d8e07edf-3836-47de-a3f6-4b97674bc2b8				websearch-agent			role:revops	us	required
50	pricing	ScaleAI	Enterprise Deal Desk Analyst	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4725451005	24.5			board:greenhouse	yes-check-tracker-row-first		role:pricing,industry:Revenue, GTM and Pricing Software	us	required
50	product	ScaleAI	Product Manager, Enterprise Core Platform	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4699779005	47.5			board:greenhouse	yes-check-tracker-row-first		role:product,industry:AI-native and Enterprise SaaS	us	required
50	marketing	ScaleAI	Product Marketing Lead, Enterprise	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4722998005	39.5			board:greenhouse	yes-check-tracker-row-first		role:marketing,industry:AI-native and Enterprise SaaS	us	required
50	product	ScaleAI	Senior AI Product Manager, Code	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4720501005	47.5			board:greenhouse	yes-check-tracker-row-first		role:product,industry:AI-native and Enterprise SaaS	us	required
50	product	ScaleAI	Senior AI Product Manager, Cybersecurity	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4720213005	47.5			board:greenhouse	yes-check-tracker-row-first		role:product,industry:AI-native and Enterprise SaaS	us	required
50	product	ScaleAI	Senior AI Product Manager, Finance Agents	San Francisco, CA; New York, NY	https://job-boards.greenhouse.io/scaleai/jobs/4611776005	47.5			board:greenhouse	yes-check-tracker-row-first		role:product,industry:AI-native and Enterprise SaaS	us	required
50	product	ScaleAI	Senior AI Product Manager, Leaderboard	New York, NY; San Francisco, CA	https://job-boards.greenhouse.io/scaleai/jobs/4720216005	41.5			board:greenhouse	yes-check-tracker-row-first		role:product,industry:AI-native and Enterprise SaaS	us	required
