#,Company,Job Title,Application Date,Status,Contact Person,Contact Email
393,Bolna (YC F25),—,2026-09-25,2.4/5,,
392,Smalls,—,2026-09-25,3.2/5,,
391,Brex,—,2026-09-25,4.1/5,,
390,Figma,—,2026-09-24,2.0/5,,
389,Snowflake,—,2026-09-24,3.2/5,,
388,Snowflake,—,2026-09-24,1.9/5,,
387,Snowflake,—,2026-09-24,1.7/5,,
386,Snowflake,—,2026-09-24,2.2/5,,
385,Snowflake,—,2026-09-24,1.9/5,,
384,Snowflake,—,2026-09-24,3.0/5,,
383,Snowflake,—,2026-09-24,2.5/5,,
382,Snowflake,—,2026-09-24,2.1/5,,
381,Freshworks,—,2026-09-24,3.6/5,,
379,Notion,—,2026-09-24,2.9/5,,
378,Notion,—,2026-09-24,2.8/5,,
377,Notion,—,2026-09-24,3.6/5,,
376,Perplexity,—,2026-09-24,2.7/5,,
374,Verkada,—,2026-09-24,3.4/5,,
373,Robinhood,—,2026-09-24,3.2/5,,
372,Blacksmith Agency,—,2026-09-24,3.3/5,,
370,DoorDash,—,2026-09-24,3.7/5,,
369,DoorDash,—,2026-09-24,3.7/5,,
368,Hightouch,—,2026-09-24,3.6/5,,
366,Writer,—,2026-09-24,3.4/5,,
365,Perplexity,—,2026-09-24,2.6/5,,
364,Perplexity,—,2026-09-24,4.3/5,,
363,Perplexity,—,2026-09-24,3.5/5,,
362,Perplexity,—,2026-09-24,3.4/5,,
361,Perplexity,—,2026-09-24,2.0/5,,
360,Perplexity,—,2026-09-24,3.5/5,,
359,Perplexity,—,2026-09-24,3.7/5,,
358,Perplexity,—,2026-09-24,3.6/5,,
357,Outreach,—,2026-09-24,2.6/5,,
356,Outreach,—,2026-09-24,3.1/5,,
355,Workato,—,2026-09-24,1.9/5,,
354,Workato,—,2026-09-24,2.0/5,,
353,Workato,—,2026-09-24,1.9/5,,
352,Workato,—,2026-09-24,2.2/5,,
351,Sardine,—,2026-09-24,3.5/5,,
350,Learneo,—,2026-09-24,3.6/5,,
349,Casechek,—,2026-09-24,3.3/5,,
348,Hover,—,2026-09-24,3.3/5,,
347,Whatnot,—,2026-09-24,3.6/5,,
346,Recor Medical,—,2026-09-24,2.8/5,,
345,?,Judge Group,2026-09-24,2.3/5,,
344,Sprout Social,—,2026-09-24,3.5/5,,
343,MoveInSync,—,2026-09-23,4.1/5,,
342,Intercom,—,2026-09-23,3.6/5,,
341,Navan,—,2026-09-23,3.3/5,,
340,Navan,—,2026-09-23,2.2/5,,
339,Navan,—,2026-09-23,4.2/5,,
338,Ro,—,2026-09-23,1.5/5,,
337,Thrive Market,—,2026-09-23,3.9/5,,
336,Instacart,—,2026-09-23,1.5/5,,
335,Instacart,—,2026-09-23,2.6/5,,
334,Instacart,—,2026-09-23,2.9/5,,
333,Instacart,—,2026-09-23,1.6/5,,
332,Instacart,—,2026-09-23,3.3/5,,
331,Instacart,—,2026-09-23,1.7/5,,
330,Socure,—,2026-09-23,3.8/5,,
329,Coinbase,—,2026-09-23,2.5/5,,
328,Coinbase,—,2026-09-23,2.6/5,,
327,Coinbase,—,2026-09-23,2.9/5,,
326,Coinbase,—,2026-09-23,2.3/5,,
325,Coinbase,—,2026-09-23,2.6/5,,
324,TrueFoundry,—,2026-09-23,4.0/5,,
323,EasyEcom,—,2026-09-23,3.9/5,,
322,Veeva Systems,—,2026-09-23,3.4/5,,
321,DoorDash,—,2026-09-23,3.5/5,,
320,1Password,—,2026-09-23,3.9/5,,
319,Leading Response,—,2026-09-23,3.2/5,,
318,SuperBryn,—,2026-09-23,1.9/5,,
317,Lead Bank,—,2026-09-23,3.5/5,,
316,Corgi,—,2026-09-23,3.1/5,,
315,Google,—,2026-09-23,3.4/5,,
314,Renesas Electronics,—,2026-09-23,4.1/5,,
313,Google,—,2026-09-23,4.0/5,,
312,Pallet,—,2026-09-23,3.3/5,,
311,Genentech,—,2026-09-23,2.7/5,,
310,NVIDIA,—,2026-09-23,1.8/5,,
309,Opal Security,—,2026-09-23,2.4/5,,
