Company,Job Title,Job URL,Date Created
Pattern,Digital Advertising Strategist,https://jobs.lever.co/pattern/85586fb0-774f-4b77-9e7f-21e8402decb1,4/8/2026
Charles Taylor,Marketing Coordinator,https://www.charlestaylor.com/en/careers/vacancies/us-adjusting-vacancies/?gnk=job&gni=8a7883a89d02f872019d4ad2ba0b0798&lang=en,4/9/2026
HPE,Solution Marketing Manager AI Data Center and Cloud,https://careers.hpe.com/us/en/job/1205534/Solution-Marketing-Manager-AI-Data-Center-and-Cloud,4/9/2026
Thumbtack,Growth Marketing Manager SEM,https://job-boards.greenhouse.io/thumbtack/jobs/7674995,4/9/2026
Greenlight,Growth Marketing Manager Conversion and Experimentation,https://jobs.lever.co/greenlight/6fbf65d3-cd37-4c5b-938a-5f8f50b6df52,4/9/2026
GitLab,Lead PMM Pricing and Packaging,N/A (JD pasted directly),4/9/2026
Google,Growth Marketing Manager (Contract),https://www.google.com/about/careers/applications/jobs/results/81997388486451910-growth-marketing-manager/,4/10/2026
HubSpot Role,Marketing Associate (HubSpot),N/A (JD pasted directly),4/10/2026
FedEx,Sr Product Analytics Analyst,https://careers.fedex.com/digital-marketing-sr-product-analytics-analyst/job/P25-329275-1,4/10/2026
FedEx Freight,Sr Spec-Digital Marketing,https://careers.fedex.com/sr-spec-digital-marketing/job/P25-329882-1,4/10/2026
CVS Health,Manager Digital Strategy and Growth,https://jobs.cvshealth.com/us/en/job/R0868525/Manager-Digital-Strategy-Growth,4/10/2026
CVS Health,Sr Analyst Digital Product,https://jobs.cvshealth.com/us/en/job/R0872815/Sr-Analyst-Digital-Product,4/10/2026
CVS Health,Senior Product Analyst,https://jobs.cvshealth.com/us/en/job/R0864575/Senior-Product-Analyst,4/10/2026
TikTok,PMM Attribution Measurement,https://lifeattiktok.com/search/7558194338262845714,4/11/2026
Holland America Line,Digital E-Commerce Specialist,https://jobs.carnivalcorp.com/job/-/-/28021/93766970704,4/11/2026
Johnson and Johnson,Senior Digital Marketing Associate,https://www.careers.jnj.com/en/jobs/r-047384/senior-digital-marketing-associate/,4/11/2026
TikTok,Global PMM Search Ads,https://lifeattiktok.com/search/7624277891722791173,4/12/2026
Uber,Product Manager II Uber Health,https://www.uber.com/global/en/careers/list/155824/,2026-04-12
Uber,Growth Marketing Manager Uber Advertising,https://www.uber.com/global/en/careers/list/156578/,2026-04-12
Johnson and Johnson,Senior Digital Marketing Associate (regenerated),https://www.careers.jnj.com/en/jobs/r-047384/senior-digital-marketing-associate/,2026-04-12
Logitech,Marketing Manager Healthcare Industry,https://logitech.wd5.myworkdayjobs.com/en-US/Logitech/job/San-Jose-California---USA/Marketing-Manager---Healthcare-Industry_145394,2026-04-13
Renesas,Digital Marketing Manager,https://jobs.renesas.com/job/digital-marketing-manager-in-austin-texas-united-states-jid-4466,2026-04-13
EvolutionIQ,Sr. Product Marketing Manager,https://job-boards.greenhouse.io/evolutioniq/jobs/5841822004,2026-04-13
GlossGenius,Senior Data Analyst Marketing,https://job-boards.greenhouse.io/glossgenius/jobs/7676287003,2026-04-13
GlossGenius,Growth Marketing Manager,https://job-boards.greenhouse.io/glossgenius/jobs/7617555003,2026-04-13
GlossGenius,Staff Data Analyst Marketing,https://job-boards.greenhouse.io/glossgenius/jobs/7695253003,2026-04-13
GitLab,Senior Data Analyst Marketing Analytics,https://job-boards.greenhouse.io/gitlab/jobs/8472178002,2026-04-14
World Golf Tour,Marketing Data Analyst,https://jobs.ashbyhq.com/world-golf-tour/7de419ae-8bcf-4388-8aa1-0ca484749dab,2026-04-14
The Hershey Company,ABM/Sr ABM Channel Development Packtypes,https://careers.thehersheycompany.com/job/Hershey-%28ABMSr_-ABM%29-Channel-Development-Packtypes-PA-17033/1380650000/,2026-04-14
TikTok,Platform Campaign Manager TikTok Shop,https://lifeattiktok.com/referral/tiktok/position/detail/ (A143982),2026-04-14
KKR,Search & AI Optimization Associate,https://www.kkr.com/careers/career-opportunities/post?gh_jid=5966694004,2026-04-14
TikTok Shop,Merchant Growth Strategy Manager,https://lifeattiktok.com/referral/tiktok/position/detail/ (Guanyu Ren referral),2026-04-15
Amazon,"Manager, Marketing Analytics (WWGS)",https://www.amazon.jobs/en/jobs/10389899/manager-marketing-analytics,2026-04-15
Autodesk,Partnership Marketing Specialist (Fusion),https://autodesk.wd1.myworkdayjobs.com/en-US/Ext/job/Partnership-Marketing-Specialist_26WD94791,2026-04-26
TE Connectivity,Senior Digital Product Analyst,https://careers.te.com/job/Senior-Digital-Product-Analyst/148683-en_US,2026-04-15
StubHub,"Sr Performance Marketing Associate, Paid Social",https://job-boards.greenhouse.io/embed/job_app?for=stubhubinc&token=4826829101,2026-04-15
Topsort,Growth Marketer,https://job-boards.greenhouse.io/embed/job_app?for=topsort&token=5190681008,2026-04-16
Skydio,GTM Enablement Associate,https://www.skydio.com/jobs/2b3fea3b-e1b5-4497-9607-e9864019b0e7,2026-04-16
Cisco,Marketing Manager,https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/RTP-North-Carolina-US/Marketing-Manager_2011056-1,2026-04-16
JPMorgan Chase,Market Research Senior Associate,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210736924,2026-04-16
Applied Materials,Market Analyst III,https://jobs.appliedmaterials.com/job/-/-/95/94018032016,2026-04-16
Steno,Product Marketing Associate,https://ats.rippling.com/steno-careers-page/jobs/858cd3fb-c759-410a-8aa5-a9c4617bb99b,2026-04-17
PepsiCo,"Associate Marketing Manager, AI & Digital Transformation (Gatorade)",https://www.pepsicojobs.com/main/jobs/438050,2026-04-17
CVS Health,"Senior Analyst, Performance Marketing",https://jobs.cvshealth.com/us/en/job/CVSCHLUSR0884906EXTERNALENUS/Senior-Analyst-Performance-Marketing,2026-04-17
JPMorgan Chase,"Marketing Sr Associate, Customer Journey",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs/preview/210735304/,2026-04-17
L'Oreal,"Analyst, Customer Marketing Analytics",https://careers.loreal.com/en_US/jobs/JobDetail?jobId=239473,2026-04-17
Garner Health,Growth Marketing Manager,https://job-boards.greenhouse.io/garnerhealth/jobs/5968756004,2026-04-17
Wells Fargo,General (Talent Community),N/A (Talent Community submission),2026-04-17
Wells Fargo,Paid Media and AdTech Platforms Lead,https://www.wellsfargojobs.com/en/jobs/r-534180/paid-media-and-advertising-technology-lead/,2026-04-17
Prolific,"Growth Marketing Manager, AI",https://job-boards.eu.greenhouse.io/prolific/jobs/4782353101,2026-04-20
Ramp,"Growth Manager, Website CRO",https://jobs.ashbyhq.com/ramp/8e91631a-7e69-4d76-a73b-de2f09d7de9f,2026-04-20
Caterpillar,"Generative AI Product Manager, Shopping & Content Search",https://careers.caterpillar.com/en/jobs/r0000362662/generative-ai-product-manager-shopping-content-search/,2026-04-20
